board,from,to,results
r1bq1rk1/1p3ppp/p2npn2/8/8/PNN3P1/1P2PPBP/R2Q1RK1 w - - 0 15,26,43,0.0
8/p2R2pp/p3p3/2P1Pb2/kP6/r5B1/1K5P/8 w - - 0 43,21,16,1.0
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,58,37,-1.0
1k3r2/p1pq2b1/1p2b2p/4p1p1/1n1nN3/2NPB1P1/PPP3BP/1K1RQ3 w - - 0 20,59,61,-1.0
1kr1qb1r/pp2pppp/2n5/2pp4/5Pn1/1P6/PBPPP1PP/RN1KQB1R w kq - 0 7,45,30,-1.0
k6r/1p6/2p2P2/8/P1b5/6PB/3q1R1K/8 w - - 0 54,4,11,1.0
8/7k/5R1p/5n2/5P1P/4K3/r7/8 w - - 0 73,54,37,0.0
4r1k1/ppp2ppp/3p2nq/3P4/2P1rP2/PPQ1P3/1B5P/4R1RK w - - 0 24,52,28,0.0
5bk1/8/6p1/8/1pNP4/1P3K2/P4B2/1b6 w - - 3 52,43,61,0.0
8/8/1k4p1/1p2p1Pp/1Pp1P2P/2K5/2B1b3/8 w - - 0 55,34,26,0.0
7R/p7/1p6/2p1kp2/N1Pnb3/6rP/8/3RK3 w - - 20 52,18,22,0.0
4k3/1R2b2p/5Pp1/6p1/1pKr4/5P1P/8/8 w - - 0 48,3,27,0.0
k1r2r2/pp1q1pp1/2p1p2p/8/2PP1QPP/P3P3/1P6/1KRR4 w - - 0 29,50,51,0.0
r1bqk2r/pppp1ppp/5n2/2b1p3/2P1P3/2N5/PPP1NPPP/R1BQK2R w KQkq - 1 7,61,34,0.0
2q3k1/5p2/4p1pb/3pPn1r/1p3B1p/1Pr2R1P/PQ3PP1/1B4RK w - - 2 41,42,18,0.0
r2qkb1r/ppp1pppp/2n3b1/4P3/QnBP2P1/2N5/PP3P1P/R1B1K1NR w KQkq - 3 9,57,42,1.0
1kr2rb1/pppn1qpp/3p4/2b1pP2/3nP1P1/P1N4P/1PPBN1B1/1K1RQ2R w - - 7 15,45,51,1.0
8/4kp2/1p1qbp2/p2p2p1/3P3p/2PQN2P/PP3PP1/6K1 w - - 4 32,51,52,1.0
1kr5/ppp5/2n1b2p/3pp2q/Q7/P1PP2P1/2P3BP/1KN2r1R w - - 0 18,61,5,1.0
r2qkb1r/pp1n1ppp/2p1pn2/3p3b/8/3P1NPP/PPPNPPB1/R1BQ1RK1 w kq - 1 8,30,39,0.0
2k5/p2p3p/8/3bp3/3n4/4r1P1/1K3R2/R7 w - - 0 39,57,58,1.0
1k6/1p6/p6b/4p2P/1Nppn3/P5P1/KPP2r2/5NR1 w - - 2 34,61,13,1.0
rnbqr1k1/pp3ppp/2pb1n2/3p4/3P1N2/P1NBP3/1P3PPP/R1BQ1RK1 w - - 4 11,61,60,-1.0
4r3/1p2rp2/2p2kp1/8/3P1P2/PpP2R2/1P6/1KR5 w - - 0 33,24,17,1.0
1kr1q2r/ppp2p2/8/3p1pPp/3Pn3/P3P1P1/1PP3P1/R2KQB1R w kq - 1 15,45,28,0.0
1k5r/1pp3p1/p1q5/4r1Pp/5p2/1P1P3P/P1P2Q2/1KR4R w - - 0 21,60,36,-1.0
r1bkqb1r/pppp2pp/2n2n2/5p2/4pP2/2NPP3/PPP3PP/R1BKQBNR w KQkq - 1 5,62,45,-1.0
6k1/p4p2/4p1p1/3r3p/4QP2/1P3RP1/P4RKP/q2r4 w - - 8 34,59,35,-1.0
8/1r4p1/4k1Kp/4P3/p6P/6P1/8/B7 w - - 0 51,32,24,-1.0
1kr1q2r/pp5p/3b4/4nbB1/2pp4/3P2P1/PPP1N1BP/R2KQ2R w kq - 0 15,34,26,0.0
3rr1k1/1p2npp1/p3n2p/b2p4/6P1/1PP1NP2/P3NBP1/3RRK2 w - - 7 31,50,32,1.0
r1bqnrk1/1pp3bp/3p2n1/p2Ppp2/1PP5/2N1B3/P3BPPP/2RQNRK1 w - - 0 14,48,32,1.0
8/1kp4p/1p4p1/p2P4/2P1QrqP/1P6/PK2R3/8 w - - 7 32,45,29,0.0
4r3/1p3R2/p1p5/P2pPnBp/1P2kP1P/7K/8/8 w - - 10 50,27,37,-1.0
8/2p2p2/2k4p/1bp3p1/8/RPB2P2/P6r/2K5 w - - 0 47,14,15,-1.0
r1bkqbnr/pppp2pp/2n5/4pp2/4P3/3P4/PPP2PPP/RNBKQBNR w KQkq - 1 3,57,42,1.0
2b2rk1/r3bppp/p1p1pn2/2qpN3/7B/2P1P3/PPQN1PPP/R3K2R w KQ - 0 14,41,34,0.0
3r1r2/pkpp2p1/1p2p3/2q1P1pP/5n2/2P2PN1/PP1Q2P1/1K1R3R w - - 0 22,57,49,0.0
2r5/1R1Bn3/p2b2k1/4p1pp/3pP3/3P2PP/P4NK1/8 w - - 2 42,50,43,-1.0
b4k2/3rrpp1/ppnNq2p/4P3/P2B4/2R4P/1P1p1QP1/5RK1 w - - 4 44,25,42,1.0
k4r2/p7/6pp/1p1R4/4PP1P/1Pq2n2/P4P2/K1R5 w - - 0 41,25,18,-1.0
2k5/p1p3n1/P7/2B3p1/5p2/1P1P3P/2PK4/8 w - - 1 41,39,54,-1.0
1k5r/p1pp2r1/1p6/5P2/4P1Pp/3P3B/PPP1N3/1K6 w - - 0 26,38,54,1.0
r1bq1rk1/pp2bppp/4p3/3n4/2NB4/1P1BP3/P4PPP/R2Q1RK1 w - - 2 14,43,52,1.0
r5k1/4q1pp/pn6/Np4PP/3p2Q1/4P3/PPPB1n2/2KR4 w - - 3 26,28,13,-1.0
8/1pk5/1p4R1/2p1K3/P2pP3/1P1P4/2r5/8 w - - 3 45,42,50,-1.0
8/3r4/p7/Bb2K3/kP6/2R5/8/8 w - - 18 87,42,33,0.0
1k1r4/1p1P3p/3q4/1QR2p2/8/KP6/P6P/8 w - - 1 30,35,43,0.0
8/6pp/p2bk3/2p1p3/P3R3/1rB3P1/3KPP1P/8 w - - 4 38,53,44,0.0
8/4B1b1/2k1p1pp/4p1P1/p1K1P2P/8/PP3P2/8 w - - 7 46,41,42,1.0
r3k3/1pp1n1p1/pbn1bp2/4p3/8/1P1qP1P1/PBPPNN2/1KR4B w - - 0 17,46,19,0.0
r3k2r/1pqn1pb1/3p1np1/p2Pp2p/P7/1N2BP2/1PPQB1PP/2KR3R w kq - 2 15,61,54,-1.0
6k1/2p2r2/1p2pB2/4P1KP/P7/8/8/8 w - - 5 49,61,62,-1.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,57,42,-1.0
8/5p2/p7/3b1k1p/p1pP1Pp1/N1P1K1P1/6P1/8 w - - 5 53,44,37,1.0
1k3r2/1pb3pp/p4n2/4p3/2BpP3/P2P1N1P/1P4P1/1K2R3 w - - 0 28,43,50,0.0
6k1/ppp5/3p4/3P2pp/P1PNb3/1P4P1/5Q1K/7q w - - 3 35,3,7,-1.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,51,35,-1.0
4rnk1/2p3p1/1p6/p1p1P2p/P1P1qB2/3P2P1/2P3K1/4R3 w - - 0 38,46,28,0.0
r1bkq2r/ppp1b2p/2np1np1/4ppB1/4P3/2NP1P1P/PPP3P1/R2KQBNR w KQkq - 2 7,61,52,1.0
k5r1/p1r3pp/1p2q3/2bp4/4p1P1/1P2P3/PBP1Q2P/1K1R1R2 w - - 0 21,42,44,-1.0
8/8/q7/8/8/3KR1p1/3N2k1/8 w - - 10 73,48,40,0.0
2r2rk1/p4ppp/8/8/1Qn5/1PB2bP1/q3PPBP/4R1K1 w - - 0 23,42,21,0.0
r1bqk2r/pp2ppb1/n4np1/1Npp3p/3P1B1P/4PN2/PPP2PP1/R2QKB1R w KQkq - 2 8,57,40,0.0
3r2k1/p5q1/4p3/2p1P1P1/2P1R2p/5BbP/P3Q1K1/3rB3 w - - 1 47,47,54,0.0
r5k1/3bbqp1/p6p/1p1pBp2/1Pr5/PQ2P3/4NPPP/3R1RK1 w - - 12 27,58,26,1.0
1kr2b1B/pppb3p/8/q7/1n1p1p2/1P3B2/P1PP2PP/1KR1Q2R w - - 4 15,42,25,-1.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,57,42,-1.0
8/4k3/1Nr4p/p1P3pP/P2Br3/4P1P1/5K2/2R5 w - - 1 39,30,28,1.0
5rk1/p6p/2pb2p1/q1Np1bP1/3P4/1PP2p1P/PK1QpB2/7R w - - 0 28,29,21,-1.0
8/p7/kp3Qp1/2p5/P7/K1Pq4/8/8 w - - 0 45,42,34,1.0
r3k2r/1bqnbpp1/p1npp2p/1pp5/4PPPP/2NPB3/PPP2NB1/R2Q1RK1 w kq - 1 13,45,51,-1.0
rnbkqbnr/pppp2pp/8/4pp2/4P3/8/PPPP1PPP/RNBKQBNR w KQkq - 0 2,53,37,0.0
1k5r/1p2n3/p1p5/2PqPp2/1R1p1P2/P5QB/1P6/1K6 w - - 2 34,53,35,0.0
r4rk1/pp2ppbp/1qn3p1/3pPnNP/3P4/8/PP2NPP1/R1BQK2R w KQ - 1 13,47,37,1.0
1r3rk1/1p1nbpp1/p3p1n1/3pP3/2qP1PP1/2NR2Bp/1PQ4P/4NRK1 w - - 3 23,25,26,1.0
1kbr4/pp1rn1pp/2p2pq1/8/4Pp2/2QBN1P1/PPP4P/1K1R3R w - - 0 19,36,29,1.0
r1bkqbnr/p1pp2pp/1pn5/4pp2/4P3/2NP4/PPP2PPP/R1BKQBNR w KQkq - 0 4,49,41,0.0
7r/4k3/p3p3/1bp1P1P1/5R2/2P4P/7K/3R4 w - - 0 48,26,33,1.0
6k1/1p3pp1/3n3p/2q5/2p1r1N1/P6P/PQ3PP1/R5K1 w - - 0 30,60,28,-1.0
3r3r/1kp1n2q/pp3p2/3p1n2/3P2Rp/P2P1N1P/KP3PN1/4Q1R1 w - - 11 32,47,55,-1.0
1kr5/pbp3N1/1p6/2bpn3/8/1P2P2B/P1P5/1KR3N1 w - - 0 24,51,36,-1.0
4r1k1/pp1r2p1/1bp1b2p/4P3/8/P1P1p1B1/1PB3PP/1KR2R2 w - - 0 24,28,20,1.0
3r2k1/P2q4/2p5/5N2/4P1p1/8/5P2/1Q4K1 w - - 3 57,44,51,1.0
8/5bk1/1p2p1p1/4P1K1/1P2B2P/8/8/8 w - - 4 62,60,53,1.0
4r1k1/p4ppp/8/3Q4/1bp2P2/8/PPq3PP/2B2R1K w - - 1 25,43,25,-1.0
1kr1qbnr/pbp3pp/1pnp4/4Pp2/3P4/2N2N2/PPP3PP/R1BKQB1R w kq - 0 9,51,43,0.0
1k1q3r/p5p1/2r1p1p1/1p1n1pP1/1BpPpP1P/P3P3/1PPK1Q2/RR6 w - - 2 25,60,59,0.0
rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N2N2/1P2PPPP/R1BQKB1R w KQkq - 1 6,58,37,-1.0
1r4k1/1P3p2/2pN1Pp1/2N1P1K1/7p/7P/6r1/8 w - - 3 62,9,14,1.0
2k3nr/ppp4p/3b1pp1/6P1/8/2B2N1P/PPP5/1K2r2R w - - 0 24,52,4,0.0
1k1rqb2/ppp2bp1/4pp2/3p4/n2P1PP1/2NnP3/PPP2B2/1K1RQ2B w - - 0 22,25,19,-1.0
4k3/5p2/2nBb1pp/7P/P7/8/5KP1/3B4 w - - 0 52,54,46,1.0
rn1k3r/pbp3pp/1p3n2/2bp4/3q1P2/2N2P2/PPBB2PP/R2KQ1NR w KQkq - 2 11,61,34,-1.0
rnbkqbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,51,35,-1.0
rnbqk2r/ppp2p2/4p3/3pP1pp/1b1P4/2N2Pn1/PPP1N1PP/R2QKB1R w KQkq - 0 10,28,22,1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,-1.0
R7/8/8/6pk/5r1p/8/6K1/8 w - - 6 80,46,39,-1.0
1k1q4/1pb3pp/2n2p2/4p3/4P3/P3N3/1Br2PPP/1K1R4 w - - 0 31,11,10,0.0
2r2r1k/pp2p1bp/3p1n2/q3p2p/2PnP3/1PN1BPP1/P2QB1K1/2R4R w - - 2 23,51,45,1.0
5r2/pp2n3/2ppkp1r/4p2p/4P3/3P2P1/PPP2R1P/1K1N1R2 w - - 2 20,63,47,1.0
6k1/6p1/p6p/4nPb1/Pp1r4/1P4PP/4QP1K/8 w - - 0 38,59,27,1.0
1k5r/ppp3p1/r3np2/4p2p/q1PnP2P/2PPQ1P1/PB1N4/1KR2R2 w - - 1 20,43,40,0.0
r1bk3r/ppppq1p1/2n2n1p/4pp2/7P/2NPP3/PPP2PP1/R2KQBNR w KQkq - 3 7,62,45,0.0
rn2kb1r/pp1q1ppp/3p1n2/2p1p3/2P1P3/5N2/PP1P1PPP/RNBQ1RK1 w kq - 2 7,62,45,0.0
r1b1q1k1/p4ppp/1p6/3P4/8/3QbN2/PP3PPP/R5K1 w - - 0 19,34,20,1.0
2bqnbk1/B5rp/1p1p2n1/3Pp3/PN2Ppp1/5P2/1P2B1PP/R2Q1RK1 w - - 0 21,38,30,1.0
4rk2/pQ3pq1/3p1R2/3Np1p1/7r/1P6/PKP4R/8 w - - 1 33,28,31,1.0
2b4Q/2k1q3/pp6/2p1bpp1/P2pPnP1/1P1P3N/2P5/1KBB4 w - - 0 34,45,37,-1.0
r1bkq1nr/pppp2pp/2n2p2/2b1p3/4PP2/3P4/PPP3PP/RNBKQBNR w KQkq - 1 4,61,34,0.0
r2q1r1k/1p1b2pp/1p3nn1/3p2N1/4p3/1BP1Q1PP/PP1N4/2KR3R w - - 0 22,43,35,-1.0
k1r4r/pp1b1ppn/1q6/3P2Pp/P1pn1N2/2N4P/1PP2QB1/1KR2R2 w - - 1 20,45,55,-1.0
3r3r/1k3pp1/p6p/3p4/1Pp2q2/P7/2P1QPPP/3R1RK1 w - - 0 23,44,35,-1.0
r2qbrk1/pp1n2pp/2p1pb2/2PpNp2/1P1P1B2/6P1/P2QPPBP/R4RK1 w - - 5 15,52,45,1.0
r1bkqbnr/pppppppp/2n5/8/8/8/PPPPPPPP/RNBKQBNR w KQkq - 1 1,57,42,0.0
1k3rnr/pppq2pp/3bb1n1/3p1p2/8/1P1PP2P/PBP1NQP1/RN1K1B1R w kq - 3 11,58,61,-1.0
r2q1r2/pp4k1/2n2p1p/3p1bp1/1b1Pn3/2NB1NB1/PP3PPP/2RQ1RK1 w - - 4 16,62,54,1.0
1k1rq2r/ppp3p1/5pb1/n1Ppp1n1/3P2P1/P1N1PPB1/2PQ2B1/R2K2R1 w k - 1 20,42,32,0.0
8/7p/p4kp1/1p3p2/3Pp2P/PP1n2P1/5P2/2R2b1K w - - 2 41,4,19,1.0
1k1r4/2p2p1p/pp3p1b/q3p3/2Q1R3/6B1/PPK2P1P/6R1 w - - 1 22,58,59,-1.0
8/8/5n1P/1B1b1k2/P2K4/8/8/2B5 w - - 1 65,17,35,1.0
5R2/kpp1P1p1/6bp/3r3n/p7/P7/1P6/K3R3 w - - 1 39,55,46,1.0
1r4k1/p5p1/2q1p2p/P2p4/3QpPB1/4P1P1/2p4P/2R3K1 w - - 2 36,60,57,1.0
8/5pk1/1R6/2pP2pp/3r4/6PP/5PK1/8 w - - 1 39,26,27,0.0
8/2k1p3/4p3/p1n5/2P2N2/1r2r1P1/1PRR2KP/8 w - - 0 45,40,32,1.0
r1bkr3/pp4pp/2p2n2/3p4/2P3P1/1P1Pp2P/Pb2N3/1K1R1B1R w K - 0 18,36,9,1.0
r2q1rk1/2p1b1pp/p3p3/np1pP3/4n3/1BP1B3/PP3PPP/RN1Q1RK1 w - - 0 13,53,44,-1.0
r2k3r/1ppnq1pp/3pbn2/4pp2/pP6/P2PPN2/1BP2PPP/R2KQB1R w KQkq - 3 11,60,52,1.0
r3r1k1/p1b3p1/2q1bnp1/1p1p2p1/2p5/2NPPB1P/PPPB1Q2/1K4RR w - - 0 19,34,26,-1.0
1k1rq2r/1bpnbpp1/pp6/6P1/P1BPp2p/4P2P/1PPBN3/R2KQ1R1 w k - 0 16,39,31,-1.0
r1bkqbnr/pppppppp/2n5/8/8/8/PPPPPPPP/RNBKQBNR w KQkq - 1 1,57,42,0.0
4rk2/p4p2/1r5p/1Pp1npN1/3p1P2/8/2P3PP/R1KR4 w - - 0 25,55,47,1.0
8/5p2/8/R7/4P1kp/P7/r5P1/5K2 w - - 2 61,9,8,0.0
6r1/1kp5/1p2b3/p3N3/2P2P2/P2KP3/6p1/6R1 w - - 0 50,22,14,-1.0
8/2b3p1/p5p1/2p1kp2/P1PpP3/3K3P/3B2P1/8 w - - 2 46,44,36,-1.0
4k3/1p1b4/p3rp2/P1B3p1/1PPR2P1/7p/5K1P/8 w - - 13 53,59,60,0.0
4rr2/1b1N1p1p/p3q1pk/1p1p4/2pPnPQ1/4P3/PP4PP/1BR2RK1 w - - 0 21,54,47,1.0
3rr1k1/q4ppp/p6b/1p2Q3/8/P5PB/2R2P2/R6K w - - 1 39,61,60,0.0
rn1qk1r1/pppb1pQp/4pn2/8/3Pp3/P1N5/1PP2PPP/R1B1KB1R w KQq - 1 9,63,62,1.0
r1bkqbnr/ppppp2p/2n5/4Ppp1/8/8/PPPP1PPP/RNBKQBNR w KQkq - 0 3,54,38,-1.0
r3k2r/1p1n1p2/1qpbppb1/p6p/1P1P3P/P1P1B1N1/4BPP1/R2QK2R w KQkq - 1 14,61,43,0.0
r2kqbnr/ppp1pppp/2n5/3p1b2/3P4/5N2/PPP1PPPP/RNBKQB1R w KQkq - 3 3,58,37,0.0
r1b2rk1/ppq2ppp/2nbpn2/2ppN3/3P1B2/2PBP3/PP1N1PPP/R2QK2R w KQ - 3 9,57,42,-1.0
4r1k1/Q5p1/2pn2p1/1p2q3/1P2pR2/P5PP/6BK/8 w - - 5 39,26,43,-1.0
rnbkqbnr/ppp2ppp/8/3pp3/8/5P2/PPPPP1PP/RNBKQBNR w KQkq - 0 2,52,36,0.0
r1b2rk1/1p1nqpbp/5np1/p1p1p3/PPB1P3/2P2N2/3N1PPP/R1BQR1K1 w - - 0 12,50,34,0.0
r2q1rk1/pb1nb1pp/1pp1pp2/4N3/2PPNP2/8/PPQ2PBP/R2R2K1 w - - 0 16,53,45,1.0
5r2/5P2/8/p4R2/1ppk4/K7/8/8 w - - 0 76,33,25,1.0
r4rk1/1p1b1p2/p7/5P1p/3q2pP/4N1B1/PP3PP1/RQ4K1 w - - 1 25,58,51,0.0
1qrr2k1/p2n1pp1/1p1Ppn1p/2p1N2P/P1QP1B2/1P4P1/5Pb1/R2R2K1 w - - 0 25,49,14,-1.0
3q2nk/1p5p/3p2pb/1P1P1r2/5nP1/3N1B1P/1P2QB2/3R2K1 w - - 1 29,39,29,1.0
1kq1r1r1/pp6/2p1n3/7p/4PR1P/P3Q3/NPR5/1K6 w - - 1 32,34,44,1.0
4rrk1/ppq3p1/2p1ppbp/4R3/3P2PP/2P2Q2/PP3PB1/4R1K1 w - - 0 22,53,45,0.0
4q1k1/pp2r2p/1n3ppb/3p4/2nN4/2P2NB1/PPQ2PPP/3R1K2 w - - 6 27,61,47,0.0
1k3r2/pb4r1/1p1p4/1Nnp4/4p1p1/6P1/PP2PPB1/1KR4R w - - 2 25,58,61,0.0
1kr2bnr/ppp2qpp/2n1b3/3p4/4pP2/1P2P3/PBPN2PP/1KR1QBNR w - - 0 9,37,28,-1.0
8/2p2p2/1k2r2P/1p6/1K1P4/p5P1/R3N3/8 w - - 1 51,20,44,-1.0
8/2k1p3/1p2R3/3P4/1KP5/8/8/6r1 w - - 1 71,30,6,1.0
1r3rk1/1nppn1pp/2b1p3/p3Pp1q/PpPB4/1P1PP1P1/3N2BP/R1R2QK1 w - - 1 21,60,61,0.0
r3k1nr/1bqnbppp/p2pp3/1p6/4PP2/1NNBBQ2/PPP3PP/R4RK1 w kq - 4 12,57,51,-1.0
2r5/8/8/8/2N5/2K5/6R1/5k2 w - - 91 94,4,5,0.0
1k2r3/1b3R2/p6p/1pp4P/3r1P2/1P1B4/P1PN4/3K4 w - - 0 32,50,34,1.0
1kr1q2r/pbp1b1pp/1p2n3/4P3/4N3/PP1PQN2/1B4PP/1KR2R2 w - - 5 21,61,52,0.0
3k4/2p5/p2pQ2p/4pP2/4P3/3P3q/1KP5/8 w - - 2 38,51,59,-1.0
rnbqk2r/ppp1ppbp/3p1np1/8/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 5,51,43,1.0
8/8/5R2/4K1pk/1PrN4/8/5Pb1/8 w - - 13 55,58,26,0.0
k3r3/p2r4/P7/1p1b4/1R1B4/2P1Ppp1/2P5/R4K2 w - - 0 39,31,22,1.0
2rr4/2q1k3/p6Q/1bp1b1NP/8/P1P5/2B2PP1/2KR4 w - - 1 33,61,52,1.0
7k/6p1/1bb2p2/2N5/1P5P/2P1QPP1/5K2/5r1r w - - 6 50,6,5,-1.0
r1b2rk1/1q1nppbp/p2p1np1/P1pP4/R3P3/2N2N2/1P2BPPP/2BQK2R w K - 3 13,60,62,-1.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,62,45,-1.0
1k1bq3/8/1p2ppp1/8/1P1B1P2/2PQ3P/1KP5/8 w - - 2 45,42,60,-1.0
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,54,46,1.0
8/8/1p2kn2/bPp2p1b/2P1pP1p/4r2B/5NR1/2R3K1 w - - 0 55,19,20,-1.0
1k6/pp2b3/2p3qp/3np3/3pN2P/PP1P1QP1/1BP5/1K6 w - - 1 29,43,52,-1.0
r2kqb1r/1pp2ppp/p1b5/3np3/8/2NP1P2/PPP3PP/R1BKQ1NR w KQkq - 0 8,45,35,1.0
1k2r3/pppb3p/3p1p1q/4n3/1b1Nr3/1P5P/PBPP1QP1/1KR2B1R w - - 1 17,46,47,-1.0
rnbqkb1r/ppp1pppp/5n2/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,35,26,1.0
1q4k1/1p3pp1/2p4p/1nnp4/1P6/3PP1PP/5PB1/Q5K1 w - - 0 33,51,34,1.0
r2q2k1/1ppr3p/4bpp1/p1Bn4/4B3/1P1Q2P1/P3PP1P/2R2RK1 w - - 0 19,54,46,1.0
r2kqbnr/pbpp2pp/1p6/4np2/8/2NP1N2/PPP1P1PP/R1BKQB1R w KQkq - 2 6,58,49,1.0
1k5r/1ppbrqpp/p1nb1n2/3p1p2/3P4/1PNN1PP1/PBPQ2BP/1KR4R w - - 5 16,25,43,1.0
1kr2b1r/pppb1ppp/4qn2/3pn3/5B2/3P2PP/PPP1P1B1/RN1KQ1NR w kq - 5 8,60,44,-1.0
r1bk3r/pppp2pp/2n2nq1/2b5/4pP2/1PN1P3/PBP1B1PP/R2KQ1NR w KQkq - 5 9,39,46,0.0
1kr2b1r/pbp1pq1p/1pnp1np1/5p2/4P2P/2NP1P1N/PPPB2P1/1KR1QB1R w - - 0 9,51,43,0.0
r2k3r/p1ppb1pp/2n3q1/4p3/4b3/4B3/PPP2PPP/1KR1QBNR w KQ - 3 11,57,42,-1.0
1kr1qbnr/pbpp2pp/1pn5/4pp2/4P3/2NP4/PPPB1PPP/1KR1QBNR w - - 0 6,52,36,0.0
r5r1/2n2k1p/p2pn3/1pp1p3/4PpRB/P1PP1P2/1P1KN2P/6R1 w - - 1 27,54,44,0.0
1k3r2/ppp2r1p/3p3b/1Q2p2q/4N1b1/1P3nP1/PBPP1RB1/1K3R2 w - - 6 23,58,61,1.0
3r4/1p2b3/2p1kp2/p3p3/P5P1/5PN1/1PP1K3/R6r w - - 0 23,63,7,1.0
8/B7/8/8/8/6k1/2r5/7K w - - 20 84,23,22,0.0
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,51,43,0.0
8/8/bp6/1k1p4/1P1P2p1/2K3N1/8/8 w - - 113 115,42,33,1.0
6k1/7p/6p1/8/R4P2/6PK/5r1P/5n2 w - - 3 39,11,5,-1.0
1rbq1rk1/3pbppp/pPn5/2pQ4/8/4PN2/PP2BPPP/R1B1K2R w KQ - 5 12,56,57,0.0
r1bk2nr/pppp2pp/2n5/b3pP1q/8/P1NP4/1PP2PPP/R1BKQBNR w KQkq - 1 6,60,39,-1.0
1r1r4/6k1/2pq1pp1/p1Q1p1n1/P3P1Pp/2N4P/2P2R1K/5R2 w - - 0 35,44,43,-1.0
r2kqbnr/pbpp2pp/1pn5/4p3/4PP2/2N5/PPP3PP/R1BKQBNR w KQkq - 1 6,58,49,1.0
8/2k4p/1p5R/1K3r2/3P4/8/8/8 w - - 6 49,53,37,0.0
3br3/5k2/4r2p/1ppp4/4n2Q/1P2P3/1BPP2PP/1K6 w - - 0 27,54,53,0.0
1rb3k1/1p2pp1p/6p1/p1P5/P1P1p3/bPr1P3/2R2PPP/4KB1R w K - 0 17,19,18,-1.0
rn1qk2r/pb2bppp/1pp1p3/1B1n4/3P4/P1N1PN2/1P3PPP/R1BQK2R w KQkq - 0 9,50,42,1.0
rnbq1rk1/p3bppp/1pp1pn2/3p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w - - 0 8,49,41,0.0
8/7p/7P/6p1/6k1/K2p4/1P6/8 w - - 0 56,26,19,0.0
r4rk1/p3pp1p/2p3p1/8/2bb4/4B1P1/PP2PP1P/R1R3K1 w - - 0 16,54,27,1.0
5b2/pp3p1p/2k1bQp1/1q6/3n1B2/2P5/PP4PP/3RK2R w - - 2 21,50,42,1.0
1k1n4/ppp1n1pp/3p4/4p3/6b1/2NPP1P1/PPP1N1BP/1K3q2 w - - 0 17,61,5,0.0
1k5r/ppp5/2nb4/4n1p1/4Pp2/1B1p1P2/PPPN2KP/R1B5 w - - 0 23,27,19,1.0
2br2k1/p5pp/4np2/1p3P2/2p5/1Q1Pq3/PP4BP/2R2R1K w - - 0 32,34,26,1.0
3r1rk1/1p3qbp/p2p2p1/3Npb2/2P2P2/1P2B1Q1/P5PP/2RR2K1 w - - 1 20,56,59,1.0
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 3 5,58,37,0.0
1k5r/2p1rb2/1pB2p1b/1N5p/8/4P3/PPP5/1K3R1R w - - 6 27,51,52,0.0
r1bkqbnr/ppp2ppp/2n5/3pp3/5P2/3P4/PPP1P1PP/RNBKQBNR w KQkq - 0 3,52,36,0.0
r1b2rk1/ppp2qpp/1nnb4/3pp1B1/3P4/2P2NN1/PP2BPPP/R2Q1RK1 w - - 0 13,44,36,0.0
Qnk5/p2qb2R/1pp5/4p2p/P3N2P/3P4/KPPB4/5r2 w - - 7 31,61,5,-1.0
8/K3P2R/6k1/6p1/8/8/6PP/4r3 w - - 1 65,39,46,0.0
1k6/pp4pp/2rp4/2r1nb2/5B2/P7/1PPR1P1P/1K1B1R2 w - - 10 27,58,42,-1.0
r5k1/p6p/1b2pp2/1p6/3p1B1P/3P1KP1/PPr2P2/2R5 w - - 0 28,58,10,1.0
rn1q1rk1/pp3p1p/1n1pp1p1/3b4/2P3P1/1PR1BP2/P6P/3QKBNR w K - 0 14,28,35,0.0
1k1rr3/1pq2p2/pn3np1/N1ppb2p/2P4P/P3PP2/1PQ3P1/1KBR1B1R w - - 3 23,44,60,-1.0
r1b1kbnr/ppqp1ppp/2n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6,59,50,-1.0
